question,option_a,option_b,option_c,option_d,answer,explanation,source
"關於「刺刀」的保養，若刀刃生鏽，應使用什麼去除？","砂紙（輕磨）與除鏽油","石頭","水","火烤","A","輕微生鏽可用細砂紙沾油輕磨去除，嚴禁使用粗糙石頭以免磨損刀刃。","個人裝備保養規定"
"若在行軍中迷路，且沒有指南針，白天可利用什麼辨別方位？","太陽位置與手錶","憑感覺","看樹葉","丟鞋子","A","利用太陽升落方向（東升西落）或配合手錶時針法可粗略判斷方位。","野外求生教範"
"下列何者是「中士」的識別標誌？","一粗折槓","一粗一細折槓","二粗折槓","三粗折槓","B","中士為一粗一細。","陸海空軍服制條例"
"軍中「晚點名」時，部隊通常會唱哪首歌？","國歌","我愛中華（或指定軍歌）","流行歌","校歌","B","晚點名慣例會演唱《我愛中華》或其他指定軍歌，象徵一天結束與愛國精神。","國軍內部管理實務"
"T91 步槍大部分解後，結合時的第一個步驟通常是裝回什麼？","槍機拉柄","槍機總成","彈匣","槍背帶","A","結合順序與分解相反：先裝入槍機拉柄，再裝入槍機總成。","輕兵器保養手冊"
"關於「水壺」的水量，操課前通常要求裝滿至少多少？","半壺","全滿","不用裝","一口","B","為預防中暑，操課前幹部會檢查水壺是否「滿水」，確保役男有足夠飲用水。","國軍中暑防治作業手冊"
"在衛哨勤務中，若遇到「直屬長官」視導，衛兵應如何處置？","大聲喝止","行禮並報告崗位狀況","裝作沒看到","叫他走開","B","確認為直屬長官後，應持槍行禮（或依規定敬禮），並大聲報告崗位目前狀況。","衛哨勤務教範"
"下列何者是「上兵」的識別標誌？","一粗折槓","二粗折槓","三粗折槓","一槓","C","上兵為三粗折槓。","陸海空軍服制條例"
"若在毒氣室內「防毒面具」濾毒罐失效，應立即？","深呼吸","閉氣，迅速更換濾毒罐或撤離","大叫","喝水","B","濾毒罐失效會吸入毒氣，應立即閉氣並依指示撤離或更換，切勿大口呼吸。","核生化防護教範"
"T91 步槍的「槍托」材質主要為？","木頭","強化塑膠（尼龍加纖）","全金屬","橡膠","B","現代步槍（含T91）槍托與護木多採強化塑膠製成，輕量且耐衝擊。","兵工裝備諸元手冊"
"軍中「大兵手記」若未按時撰寫或繳交，屬於？","沒關係","違紀行為，可能受罰","正常的","值得鼓勵","B","大兵手記屬制式作業，無故缺交視同抗命或內務缺失，會受到糾正或處分。","政戰實務工作"
"在操課中聽到「預備─唱」口令時，應做什麼？","準備跑步","開始唱歌（軍歌）","準備睡覺","準備吃飯","B","這是唱軍歌的動令，聞令後應齊聲高唱指定歌曲。","國軍基本教練"
"關於「綁腿（膠圈）」的位置，應該綁在？","膝蓋","小腿肚下方（腳踝上方）","大腿","鞋底","B","綁腿應綁於小腿下緣、腳踝上方處，將褲管反折拉平，使褲管看起來筆直。","國軍服裝穿著規定"
"在地圖判讀中，表示地勢高度相等的曲線稱為？","海平線","水平線","等高線","垂直線","C","等高線是地圖上將海拔高度相同的點連接而成的閉合曲線，用以表示地形起伏。","地圖閱讀教範"
"關於 T91 步槍的「拋殼挺」，其主要功能為何？","將彈殼勾住","將彈殼彈出拋殼窗","擊發子彈","固定彈匣","B","拋殼挺負責在彈殼被拉出藥室後，自側面撞擊彈殼底部，將其彈出槍外。","兵工裝備諸元手冊"
"下列何者為「上校」的階級識別？","兩顆梅花","三顆梅花","一顆星","三條粗槓","B","上校為三顆梅花，中校為兩顆，少校為一顆。","陸海空軍服制條例"
"若在衛哨勤務中，遇直屬長官視導，但該長官未穿著制服且未帶證件，衛兵應如何處理？","直接放行","堅持辨證，確認身分後始可放行","開槍","假裝不認識","B","衛哨勤務「認證不認人」，即便熟識長官，未帶證件仍須透過安官通報或驗證身分，嚴禁隨意放行。","衛哨勤務教範"
"新兵在「單兵戰鬥教練」中，通過「敵外壕」時，通常採用的動作是？","跳過去","伏進","用竹梯或利用壕溝壁攀降通過","飛過去","C","通過外壕需利用壕溝壁攀降至溝底，再攀登至對岸，或使用竹梯等輔助器材。","單兵戰鬥教練手冊"
"軍中「病假」通常需要檢附什麼證明？","口頭報告","藥袋","軍醫院或健保醫院診斷證明書","收據","C","依規定，請病假需檢附合法醫療機構（通常要求地區醫院以上）開立之診斷證明書。","國軍人員請假規則"
"T91 步槍的「槍背帶」在射擊時可以用來做什麼？","裝飾","纏繞手臂增加射擊穩定度","當止血帶","綁頭髮","B","射擊時可利用槍背帶纏繞手臂（依托），形成穩固的三角支撐，提升射擊穩定性。","輕兵器射擊訓練手冊"
"關於「中暑」防治，若在戶外操課看到懸掛「紅旗」，代表危險係數為何？","低","中","高（大於40）","極高","C","紅旗代表熱中暑危險係數高（通常>40），部隊應強制補充水分並調整操課場地或強度。","國軍中暑防治作業手冊"
"下列何者是「少校」的識別標誌？","一顆梅花","兩顆梅花","三顆梅花","一條槓","A","少校為一顆梅花。","陸海空軍服制條例"
"在核生化防護中，神經毒劑中毒的典型症狀包含？","瞳孔放大","瞳孔縮小、流口水、肌肉抽搐","皮膚變藍","想睡覺","B","神經毒劑（如沙林）會破壞神經傳導，造成針狀瞳孔（縮小）、大量流涎與肌肉痙攣。","核生化防護教範"
"軍中「莒光簿」的心得寫作，若被發現是抄襲或請人代寫，會有什麼後果？","沒事","記功","視同作弊，依規定懲處","重寫就好","C","大兵手記視同正式作業，抄襲或代寫屬違紀行為，通常會被禁足或罰勤。","政戰實務工作"
"T91 步槍的「射擊三要領」通常是指？","托、抵、握","瞄、停、扣","快、狠、準","托、抵、貼","B","射擊三要領：瞄（瞄準）、停（呼吸停止）、扣（扣板機），是精準射擊的基礎。","輕兵器射擊訓練手冊"
"若在營區內發生「打架滋事」，在場人員（旁觀者）應如何處置？","加入打架","圍觀叫好","立即制止（若安全）並大聲呼叫幹部處理","拍照錄影","C","旁觀者有通報與制止義務，若袖手旁觀甚至鼓譟，視同共犯或知情不報，亦受處分。","陸海空軍懲罰法"
"下列何者為「准尉」的階級？（再次確認）","一條細槓","國軍無准尉","一顆梅花","一顆星","B","國軍現行體制確無准尉階級。","陸海空軍軍官士官任官條例"
"在行軍中，若必須在夜間使用手電筒查看地圖，應如何操作以防暴露？","直接開燈","使用紅光濾鏡並用雨衣或裝備遮擋光線","用手機照","開大燈","B","夜間讀圖需嚴格燈火管制，應使用紅光並用雨衣覆蓋遮光，僅露出微光閱讀。","單兵戰鬥教練手冊"
"關於 T91 步槍的「護木」，其內部包覆了什麼組件？","槍機","瓦斯鋼管與槍管後半部","彈匣","復進簧","B","護木主要包覆瓦斯鋼管與槍管，防止射手手部直接觸碰發燙的槍管。","兵工裝備諸元手冊"
"軍人「婚假」依規定共有幾天？","7天","10天","14天","30天","C","依國軍請假規則，結婚可核予婚假 14 日（可分次申請，含例假日）。","國軍人員請假規則"
"在單兵戰鬥教練中，關於「衝鋒」的口令，通常是？","衝啊","殺","預備─衝","攻擊前進","A","衝鋒階段，指揮官下達「衝鋒前進」口令，全體人員邊跑邊喊「殺」聲衝入敵陣。","單兵戰鬥教練手冊"
"下列何者是「中將」的識別標誌？","一顆星","二顆星","三顆星","四顆星","B","中將為二顆星。","陸海空軍服制條例"
"若在操課中發生「休克」（臉色蒼白、脈搏微弱），應採何種姿勢？","站立","頭低腳高（抬高下肢）","趴下","倒立","B","休克患者應採平躺並抬高下肢（約30度），以利血液回流心臟與腦部（頭部受傷者除外）。","國軍緊急救護訓練手冊"
"T91 步槍的「大部分解」中，最後取出的組件通常是？","彈匣","槍機拉柄","槍機總成","復進簧","B","分解順序中，取出槍機總成後，最後才會將「槍機拉柄」向後拉出。","輕兵器保養手冊"
"軍中「離營宣教」時，長官強調的「兩性營規」是指？","男女可以牽手","嚴禁男女在營區內發生不當接觸或進入異性寢室","可以談戀愛","男女要分開吃飯","B","嚴禁營內不當男女關係、性騷擾或未經核准進入異性寢室，是天條級的規定。","國軍軍風紀維護實施規定"
"關於「防毒面具」的保存，最忌諱什麼環境？","乾燥陰涼","高溫潮濕與陽光直射","通風處","黑暗處","B","橡膠材質怕高溫與紫外線，活性碳怕潮濕，故應避免高溫、潮濕與陽光直射。","核生化防護教範"
"下列何者為「二等士官長」的識別？","粗折槓加一細","粗折槓加二細","粗折槓加三細","一顆星","B","二等士官長為粗折槓搭配二條細弧線。","陸海空軍服制條例"
"在衛哨勤務中，若有人試圖搶奪槍枝，衛兵應如何處置？","把槍給他","使用槍托攻擊、刺刀或開槍自衛","逃跑","大叫","B","護槍是衛兵第一要務，遇搶奪應使用所配武器（槍托、刺刀或射擊）斷然處置以自衛。","衛哨勤務教範"
"T91 步槍的「照門」上有一個「風偏調整螺」，是用來調整？","上下偏差","左右偏差","射程","後座力","B","風偏調整螺位於提把右側，旋轉可修正彈著點的左右偏差（R/L）。","輕兵器射擊訓練手冊"
"軍中「公差」若需離開營區（如押車），必須持有什麼證明？","身分證","公差單或派車單（通行證）","口頭命令","不用證明","B","出營區執行公務須持有核准之公差單或派車單，供門口衛哨查驗放行。","營區門禁管制規定"
"關於「手榴彈投擲」的握法，握片（保險柄）應握在何處？","虎口處（掌心內）","手指尖","隨便握","朝外","A","投擲手榴彈時，應將握片（保險柄）緊壓於虎口與掌心內，防止插銷拔除後擊發。","手榴彈投擲訓練手冊"
"下列何者是「上將」的識別標誌？","二顆星","三顆星","四顆星","五顆星","B","現行上將階級為三顆星。","陸海空軍服制條例"
"若在野外發現「有毒植物」（如咬人貓），特徵通常為何？","葉面光滑","葉面有刺毛或流出乳汁","花很香","果實很大","B","許多有毒植物（如咬人貓、漆樹）葉面具刺毛或折斷後流出乳白色汁液，應避免觸碰。","野外求生教範"
